ratio,perplexity,peak_memory_mb,memory_metric_name,memory_saving_pct,tokens_per_sec,device,model_name,num_samples,seq_len_cap,eval_length,prefix_length,expected_kept_tokens_per_layer,avg_actual_kept_tokens_per_layer,min_actual_kept_tokens_per_layer,max_actual_kept_tokens_per_layer,avg_keep_fraction,avg_estimated_kv_cache_mb,peak_process_rss_mb,peak_process_rss_mb_delta,peak_mps_current_allocated_mb,peak_mps_current_allocated_mb_delta,peak_mps_driver_allocated_mb,peak_mps_driver_allocated_mb_delta,compression_applied,kv_cache_saving_pct,rss_delta_saving_pct,mps_driver_delta_saving_pct
0.0,9.648300649611352,23.25,estimated_kv_cache_mb,0.0,3150.306916032936,mps,Qwen/Qwen2.5-0.5B,32,2048,64,1984,1984,1984.0,1984.0,1984.0,1.0,23.25,860.84375,19.15625,1600.662353515625,658.369140625,2762.1875,1673.046875,True,0.0,0.0,0.0
0.05,22.550754951170784,22.078125,estimated_kv_cache_mb,5.040322580645162,2694.287191994791,mps,Qwen/Qwen2.5-0.5B,32,2048,64,1984,1884,1884.0,1884.0,1884.0,0.9495967741935484,22.078125,1249.84375,388.984375,1596.027099609375,616.609375,2739.4375,625.25,True,5.040322580645162,-1930.5872756933115,62.628064440812516
0.1,26.041815526418677,20.91796875,estimated_kv_cache_mb,10.030241935483875,2816.109750708592,mps,Qwen/Qwen2.5-0.5B,32,2048,64,1984,1785,1785.0,1785.0,1785.0,0.8996975806451613,20.91796875,1260.65625,10.8125,1596.027099609375,616.609375,2739.453125,616.015625,True,10.030241935483875,43.556280587275694,63.180014008872284
0.2,29.38966376595051,18.59765625,estimated_kv_cache_mb,20.01008064516129,2822.3997960275246,mps,Qwen/Qwen2.5-0.5B,32,2048,64,1984,1587,1587.0,1587.0,1587.0,0.7998991935483871,18.59765625,1265.140625,4.484375,1596.027099609375,616.609375,2739.453125,616.0,True,20.01008064516129,76.5905383360522,63.180947933691336
0.3,27.907227778960355,16.265625,estimated_kv_cache_mb,30.040322580645164,2816.180451289047,mps,Qwen/Qwen2.5-0.5B,32,2048,64,1984,1388,1388.0,1388.0,1388.0,0.6995967741935484,16.265625,1274.40625,9.265625,1596.027099609375,616.609375,2739.46875,616.015625,True,30.040322580645164,51.63132137030995,63.180014008872284
0.4,25.685796899978964,13.9453125,estimated_kv_cache_mb,40.02016129032258,2833.486226286802,mps,Qwen/Qwen2.5-0.5B,32,2048,64,1984,1190,1190.0,1190.0,1190.0,0.5997983870967742,13.9453125,1282.171875,7.765625,1596.027099609375,616.609375,2739.5,616.03125,True,40.02016129032258,59.46166394779772,63.17908008405324
0.5,23.897913354156746,11.625,estimated_kv_cache_mb,50.0,2841.65878742709,mps,Qwen/Qwen2.5-0.5B,32,2048,64,1984,992,992.0,992.0,992.0,0.5,11.625,1289.859375,7.6875,1596.60107421875,617.183349609375,2747.53125,624.03125,True,50.0,59.8694942903752,62.700910576698575
0.6,24.224701446000285,9.29296875,estimated_kv_cache_mb,60.03024193548387,2845.349608292839,mps,Qwen/Qwen2.5-0.5B,32,2048,64,1984,793,793.0,793.0,793.0,0.3996975806451613,9.29296875,1296.3125,6.453125,1593.363037109375,613.9453125,2739.546875,616.015625,True,60.03024193548387,66.3132137030995,63.180014008872284
0.7,22.265937406700196,6.97265625,estimated_kv_cache_mb,70.01008064516128,2868.4718470887315,mps,Qwen/Qwen2.5-0.5B,32,2048,64,1984,595,595.0,595.0,595.0,0.2998991935483871,6.97265625,1304.09375,7.78125,1593.363037109375,613.9453125,2739.5625,616.015625,True,70.01008064516128,59.380097879282225,63.180014008872284
0.8,20.71918728104059,4.640625,estimated_kv_cache_mb,80.04032258064517,2805.207024599032,mps,Qwen/Qwen2.5-0.5B,32,2048,64,1984,396,396.0,396.0,396.0,0.19959677419354838,4.640625,1311.484375,7.390625,1592.98828125,613.570556640625,2739.59375,616.03125,True,80.04032258064517,61.419249592169656,63.17908008405324
